Date,Open,High,Low,Close,Adj Close,Volume
2023-05-15,309.100006,309.899994,307.589996,309.459991,308.784973,16336500
2023-05-16,309.829987,313.709991,309.829987,311.739990,311.059998,26730300
2023-05-17,312.290009,314.429993,310.739990,314.000000,314.000000,24315000
2023-05-18,314.529999,319.040009,313.720001,318.519989,318.519989,27276000
2023-05-19,316.739990,318.750000,316.369995,318.339996,318.339996,27529500
2023-05-22,318.600006,322.589996,318.010010,321.179993,321.179993,24115700
2023-05-23,320.029999,322.720001,315.250000,315.260010,315.260010,30797200
2023-05-24,314.730011,316.500000,312.609985,313.850006,313.850006,23384900
2023-05-25,323.239990,326.899994,320.000000,325.920013,325.920013,43301700
2023-05-26,324.019989,333.399994,323.880005,332.890015,332.890015,36630600
2023-05-30,335.230011,335.739990,330.519989,331.209991,331.209991,29503100
2023-05-31,332.290009,335.940002,327.329987,328.390015,328.390015,45950600
2023-06-01,325.929993,333.529999,324.720001,332.579987,332.579987,26773900
2023-06-02,334.250000,337.500000,332.549988,335.399994,335.399994,25864000
2023-06-05,335.220001,338.559998,334.660004,335.940002,335.940002,21307100
2023-06-06,335.329987,335.369995,332.170013,333.679993,333.679993,20396200
2023-06-07,331.649994,334.489990,322.500000,323.380005,323.380005,40717100
2023-06-08,323.940002,326.640015,323.350006,325.260010,325.260010,23277700
2023-06-09,324.989990,329.989990,324.410004,326.790009,326.790009,22514900
2023-06-12,328.579987,332.100006,325.160004,331.850006,331.850006,24260300
2023-06-13,334.470001,336.980011,330.390015,334.290009,334.290009,22951300
2023-06-14,334.339996,339.040009,332.809998,337.339996,337.339996,26003800
2023-06-15,337.480011,349.839996,337.200012,348.100006,348.100006,38899100
2023-06-16,351.320007,351.470001,341.950012,342.329987,342.329987,46533600
2023-06-20,339.309998,342.079987,335.859985,338.049988,338.049988,26375400
2023-06-21,336.369995,337.730011,332.070007,333.559998,333.559998,25117800
2023-06-22,334.119995,340.119995,333.339996,339.709991,339.709991,23556800
2023-06-23,334.359985,337.959991,333.450012,335.019989,335.019989,23084700
2023-06-26,333.720001,336.109985,328.489990,328.600006,328.600006,21520600
2023-06-27,331.859985,336.149994,329.299988,334.570007,334.570007,24354100
2023-06-28,334.660004,337.980011,333.809998,335.850006,335.850006,20259500
2023-06-29,334.709991,336.109985,332.619995,335.049988,335.049988,16997000
2023-06-30,337.750000,342.730011,337.200012,340.540009,340.540009,26823800
2023-07-03,339.190002,340.899994,336.570007,337.989990,337.989990,12508700
2023-07-05,335.089996,341.649994,334.730011,338.149994,338.149994,18172400
2023-07-06,337.299988,342.989990,335.500000,341.269989,341.269989,28161200
2023-07-07,339.320007,341.790009,337.000000,337.220001,337.220001,21185300
2023-07-10,334.600006,335.230011,327.589996,331.829987,331.829987,32791400
2023-07-11,331.059998,332.859985,327.000000,332.470001,332.470001,26698200
2023-07-12,336.600006,341.649994,335.670013,337.200012,337.200012,29995300
2023-07-13,339.559998,343.739990,339.019989,342.660004,342.660004,20567200
2023-07-14,347.589996,351.429993,344.309998,345.239990,345.239990,28302200
2023-07-17,345.679993,346.989990,342.200012,345.730011,345.730011,20363900
2023-07-18,345.829987,366.779999,342.170013,359.489990,359.489990,64872700
2023-07-19,361.750000,362.459991,352.440002,355.079987,355.079987,39732900
2023-07-20,353.570007,357.970001,345.369995,346.869995,346.869995,33778400
2023-07-21,349.149994,350.299988,339.829987,343.769989,343.769989,69368900
2023-07-24,345.850006,346.920013,342.309998,345.109985,345.109985,26678100
2023-07-25,347.109985,351.890015,345.070007,350.980011,350.980011,41637700
2023-07-26,341.440002,344.670013,333.109985,337.769989,337.769989,58383700
2023-07-27,340.480011,341.329987,329.049988,330.720001,330.720001,39635300
2023-07-28,333.670013,340.010010,333.170013,338.369995,338.369995,28484900
2023-07-31,336.920013,337.700012,333.359985,335.920013,335.920013,25446000
2023-08-01,335.190002,338.540009,333.700012,336.339996,336.339996,18311900
2023-08-02,333.630005,333.630005,326.359985,327.500000,327.500000,27761300
2023-08-03,326.000000,329.880005,325.950012,326.660004,326.660004,18253700
2023-08-04,331.880005,335.140015,327.239990,327.779999,327.779999,23727700
2023-08-07,328.369995,331.109985,327.519989,330.109985,330.109985,17741500
2023-08-08,326.959991,328.750000,323.000000,326.049988,326.049988,22327600
2023-08-09,326.470001,327.109985,321.049988,322.230011,322.230011,22373300
2023-08-10,326.019989,328.260010,321.179993,322.929993,322.929993,20113700
2023-08-11,320.260010,322.410004,319.209991,321.010010,321.010010,24342600
2023-08-14,321.390015,324.059998,320.079987,324.040009,324.040009,18808100
